DateTime,Tactic,Server
2019-06-22T04:44:30.675Z,5,4
2019-06-22T04:44:33.000Z,0,4
2019-06-22T04:44:34.516Z,1,5
2019-06-22T04:45:01.000Z,0,5
2019-06-22T04:45:02.069Z,2,5
2019-06-22T04:45:20.000Z,0,5
2019-06-22T04:45:21.917Z,3,5
2019-06-22T04:45:26.000Z,0,5
2019-06-22T04:45:27.716Z,4,5
2019-06-22T04:47:25.000Z,0,5
2019-06-22T04:47:26.909Z,5,5
2019-06-22T04:47:31.000Z,0,5
2019-06-22T04:47:32.851Z,1,6
2019-06-22T04:52:37.000Z,0,6
2019-06-22T04:52:38.002Z,2,6
2019-06-22T04:52:57.000Z,0,6
2019-06-22T04:52:58.633Z,3,6
2019-06-22T04:53:04.000Z,0,6
2019-06-22T04:53:05.197Z,4,6
2019-06-22T04:54:50.000Z,0,6
2019-06-22T04:54:51.399Z,5,6
2019-06-22T04:55:10.000Z,0,6
2019-06-22T04:55:11.045Z,1,7
2019-06-22T05:01:46.000Z,0,7
2019-06-22T05:01:47.104Z,2,7
2019-06-22T05:02:03.000Z,0,7
2019-06-22T05:02:04.146Z,3,7
2019-06-22T05:02:09.000Z,0,7
2019-06-22T05:02:10.287Z,4,7
2019-06-22T05:04:20.000Z,0,7
2019-06-22T05:04:21.838Z,5,7
2019-06-22T05:04:22.000Z,0,7
2019-06-22T05:04:23.070Z,1,8
2019-06-22T05:10:34.000Z,0,8
2019-06-22T05:10:35.744Z,2,8
2019-06-22T05:11:08.000Z,0,8
2019-06-22T05:11:09.189Z,3,8
2019-06-22T05:11:14.000Z,0,8
2019-06-22T05:11:15.681Z,4,8
2019-06-22T05:13:08.000Z,0,8
2019-06-22T05:13:09.373Z,5,8
2019-06-22T05:13:10.000Z,0,8
2019-06-22T05:13:11.207Z,1,9
2019-06-22T05:13:57.000Z,0,9
2019-06-22T05:13:58.849Z,2,9
2019-06-22T05:14:37.000Z,0,9
2019-06-22T05:14:38.301Z,3,9
2019-06-22T05:14:43.000Z,0,9
2019-06-22T05:14:44.341Z,4,9
2019-06-22T05:16:33.000Z,0,9
2019-06-22T05:16:34.298Z,5,9
2019-06-22T05:16:36.000Z,0,9
2019-06-22T05:17:07.342Z,1,1
2019-06-22T05:18:04.000Z,0,1
2019-06-22T05:18:05.407Z,2,1
2019-06-22T05:18:32.000Z,0,1
2019-06-22T05:18:33.646Z,3,1
2019-06-22T05:18:38.000Z,0,1
2019-06-22T05:18:39.043Z,4,1
2019-06-22T05:20:31.000Z,0,1
2019-06-22T05:20:32.079Z,5,1
2019-06-22T05:20:38.000Z,0,1
2019-06-22T05:20:39.674Z,1,2
2019-06-22T05:21:08.000Z,0,2
2019-06-22T05:21:09.569Z,2,2
2019-06-22T05:21:51.000Z,0,2
2019-06-22T05:21:52.541Z,3,2
2019-06-22T05:21:57.000Z,0,2
2019-06-22T05:21:58.332Z,4,2
2019-06-22T05:23:52.000Z,0,2
2019-06-22T05:23:53.431Z,5,2
2019-06-22T05:23:59.000Z,0,2
2019-06-22T05:24:00.656Z,1,3
2019-06-22T05:25:08.000Z,0,3
2019-06-22T05:25:09.502Z,2,3
2019-06-22T05:25:38.000Z,0,3
2019-06-22T05:25:39.408Z,3,3
2019-06-22T05:25:43.000Z,0,3
2019-06-22T05:25:44.913Z,4,3
2019-06-22T05:27:29.000Z,0,3
2019-06-22T05:27:30.099Z,5,3
2019-06-22T05:27:43.000Z,0,3
2019-06-22T05:27:44.355Z,1,4
2019-06-22T05:29:44.000Z,0,4
2019-06-22T05:29:45.264Z,2,4
2019-06-22T05:30:13.000Z,0,4
2019-06-22T05:30:14.772Z,3,4
2019-06-22T05:30:19.000Z,0,4
2019-06-22T05:30:20.969Z,4,4
2019-06-22T05:31:46.000Z,0,4
2019-06-22T05:31:47.630Z,5,4
2019-06-22T05:31:57.000Z,0,4
2019-06-22T05:31:58.259Z,1,5
2019-06-22T05:32:37.000Z,0,5
2019-06-22T05:32:38.672Z,2,5
2019-06-22T05:33:08.000Z,0,5
2019-06-22T05:33:09.831Z,3,5
2019-06-22T05:33:15.000Z,0,5
2019-06-22T05:33:16.302Z,4,5
2019-06-22T05:35:15.000Z,0,5
2019-06-22T05:35:16.062Z,5,5
2019-06-22T05:35:23.000Z,0,5
2019-06-22T05:35:24.356Z,1,6
2019-06-22T05:41:46.000Z,0,6
2019-06-22T05:41:47.890Z,2,6
2019-06-22T05:42:09.000Z,0,6
2019-06-22T05:42:10.034Z,3,6
2019-06-22T05:42:15.000Z,0,6
2019-06-22T05:42:16.421Z,4,6
2019-06-22T05:43:42.000Z,0,6
2019-06-22T05:43:43.404Z,5,6
2019-06-22T05:43:50.000Z,0,6
2019-06-22T05:43:51.285Z,1,7
2019-06-22T05:50:12.000Z,0,7
2019-06-22T05:50:13.589Z,2,7
2019-06-22T05:50:42.000Z,0,7
2019-06-22T05:50:43.486Z,3,7
2019-06-22T05:50:47.000Z,0,7
2019-06-22T05:50:48.511Z,4,7
2019-06-22T05:52:19.000Z,0,7
2019-06-22T05:52:20.409Z,5,7
2019-06-22T05:52:36.000Z,0,7
2019-06-22T05:52:37.528Z,1,8
2019-06-22T05:58:19.000Z,0,8
2019-06-22T05:58:20.882Z,2,8
2019-06-22T05:58:37.000Z,0,8
2019-06-22T05:58:38.638Z,3,8
2019-06-22T05:58:44.000Z,0,8
2019-06-22T05:58:45.056Z,4,8
2019-06-22T06:00:29.000Z,0,8
2019-06-22T06:00:30.560Z,5,8
2019-06-22T06:00:33.000Z,0,8
2019-06-22T06:00:34.815Z,1,9
2019-06-22T06:01:31.000Z,0,9
2019-06-22T06:01:32.700Z,2,9
2019-06-22T06:01:54.000Z,0,9
2019-06-22T06:01:55.606Z,3,9
2019-06-22T06:02:02.000Z,0,9
2019-06-22T06:02:03.612Z,4,9
2019-06-22T06:04:01.000Z,0,9
2019-06-22T06:04:02.527Z,5,9
2019-06-22T06:04:03.000Z,0,9
2019-06-22T06:04:34.006Z,1,1
2019-06-22T06:04:58.000Z,0,1
2019-06-22T06:04:59.720Z,2,1
2019-06-22T06:05:41.000Z,0,1
2019-06-22T06:05:42.880Z,3,1
2019-06-22T06:06:54.000Z,0,1
2019-06-22T06:06:55.877Z,4,1
2019-06-22T06:08:23.000Z,0,1
2019-06-22T06:08:24.873Z,5,1
2019-06-22T06:08:26.000Z,0,1
2019-06-22T06:08:27.144Z,1,2
2019-06-22T06:08:55.000Z,0,2
2019-06-22T06:08:56.476Z,2,2
2019-06-22T06:09:19.000Z,0,2
2019-06-22T06:09:20.450Z,3,2
