,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
49,mlp_predictions_server_3_tactic_1_sampleRate_0.csv,2852845.875576933,16458308.634715179,69754.94625375632,1116,191263.9864379632,339,2262,930,153,186,1332
50,mlp_predictions_server_3_tactic_1_sampleRate_5.csv,383177.56973304733,1351630.1911368677,4228.336536986377,509,8578.390210360112,10,507,504,5,5,3
51,mlp_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,3158807.365692093,16453781.23444439,69467.26026204211,1121,176839.40038454448,335,2266,927,141,194,1339
52,mlp_predictions_server_2_tactic_1_sampleRate_20.csv,229957.78734021567,2221795.1467941105,0.0,127,0.0,0,127,127,0,0,0
53,mlp_predictions_server_2_tactic_1_sampleRate_5.csv,241951.13816292654,1856621.8871789817,0.0,516,0.0,0,517,516,0,0,1
54,mlp_predictions_server_2_tactic_1_sampleRate_0.csv,1855138.9604613024,22932746.503373668,4381.268816049102,1296,25081.337469495025,89,2512,1231,24,65,1281
55,mlp_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,2717102.864796414,22931440.914303746,12397.678555823764,1284,65040.11190759138,145,2456,1199,60,85,1257
56,mlp_predictions_server_2_tactic_1_sampleRate_10.csv,151497.87690780006,2104747.0534842974,0.0,257,0.0,0,257,257,0,0,0
57,lstm_model_0_predictions_server_1_tactic_1_sampleRate_0.csv,1456570.003447804,20627623.78336609,5490.3203779275555,1014,87649.9550828108,92,2509,1005,83,9,1504
58,lstm_model_1_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,1212103.51181106,20592413.97872803,4052.2537814195957,1047,29190.60560069897,68,2533,1007,28,40,1526
59,lstm_model_2_predictions_server_1_tactic_1_sampleRate_10.csv,79201.55816749908,1413003.7626840884,0.0,257,0.0,0,257,257,0,0,0
60,lstm_model_0_predictions_server_1_tactic_1_sampleRate_5.csv,147997.3023271379,1181954.2448924812,140.1648846580989,506,3122.318743574123,5,512,504,3,2,8
61,lstm_model_3_predictions_server_1_tactic_1_sampleRate_10.csv,73870.64300527616,1413003.7626840884,0.0,257,0.0,0,257,257,0,0,0
62,lstm_model_0_predictions_server_1_tactic_1_sampleRate_10.csv,165978.45945771545,1413003.7626840884,0.0,257,0.0,0,257,257,0,0,0
63,lstm_model_0_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,1301670.5910423368,20578835.327978797,5046.846931363407,1060,32591.039218830774,86,2515,1005,31,55,1510
64,lstm_model_2_predictions_server_1_tactic_1_sampleRate_5.csv,69115.70933784144,1177948.1759281254,26.879732667253734,510,0.0,3,514,507,0,3,7
65,lstm_model_1_predictions_server_1_tactic_1_sampleRate_10.csv,81291.68693102448,1413003.7626840884,0.0,257,0.0,0,257,257,0,0,0
66,lstm_model_2_predictions_server_1_tactic_1_sampleRate_0.csv,1626029.6037834315,20636151.884184267,6929.49900909906,1006,109400.79808695182,108,2493,1001,103,5,1492
67,lstm_model_3_predictions_server_1_tactic_1_sampleRate_0.csv,1431934.8358705773,20628131.93996573,7018.601922199299,1012,100361.32045433336,102,2499,1004,94,8,1495
68,lstm_model_1_predictions_server_1_tactic_1_sampleRate_20.csv,75371.28658114852,1510918.4641755994,0.0,127,0.0,0,127,127,0,0,0
69,lstm_model_3_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,2303624.3706124886,20648097.543734934,13229.67880527121,986,165741.84543464525,156,2445,983,153,3,1462
70,lstm_model_3_predictions_server_1_tactic_1_sampleRate_5.csv,137053.21495222737,1180965.644770855,111.04988972809053,507,2093.2037486441145,4,513,505,2,2,8
71,lstm_model_0_predictions_server_1_tactic_1_sampleRate_20.csv,68928.00752094579,1510918.4641755994,0.0,127,0.0,0,127,127,0,0,0
72,lstm_model_3_predictions_server_1_tactic_1_sampleRate_20.csv,76819.49753711095,1510918.4641755994,0.0,127,0.0,0,127,127,0,0,0
73,lstm_model_1_predictions_server_1_tactic_1_sampleRate_5.csv,174536.66475907475,1185153.5890035846,346.5913200004966,503,5330.925973585379,6,511,502,5,1,9
74,lstm_model_2_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,1110805.8172538576,20600021.34068643,3431.701960175071,1039,39640.32992375675,62,2539,1015,38,24,1524
75,lstm_model_1_predictions_server_1_tactic_1_sampleRate_0.csv,1495028.0168770966,20630524.734785203,6171.872892173495,1011,97603.38339457681,98,2503,1005,92,6,1498
76,lstm_model_2_predictions_server_1_tactic_1_sampleRate_20.csv,68033.40968811075,1510918.4641755994,0.0,127,0.0,0,127,127,0,0,0
77,lstm_model_3_predictions_server_3_tactic_1_sampleRate_20.csv,479294.8307452276,1704767.8179417662,0.0,127,0.0,0,127,127,0,0,0
78,lstm_model_2_predictions_server_3_tactic_1_sampleRate_5.csv,390844.42591805465,1352661.3290787777,4060.513064224673,508,8578.390210360112,9,508,504,5,4,4
79,lstm_model_2_predictions_server_3_tactic_1_sampleRate_20.csv,429255.1853017664,1704767.8179417662,0.0,127,0.0,0,127,127,0,0,0
80,lstm_model_1_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,3405390.070409729,16482780.64513734,76473.22684749113,1080,244554.10748852036,344,2257,930,194,150,1327
81,lstm_model_2_predictions_server_3_tactic_1_sampleRate_0.csv,3515826.903050878,16499246.954636903,82800.8167510963,1057,294974.420992616,359,2242,933,235,124,1309
