ID,ActionTime,Cost1,Cost2,,0
447,2019-07-22T00:08:41.000Z,319.93,1624.7,,
448,2019-07-22T00:08:42.000Z,318.93,1620.08,,
449,2019-07-22T00:08:43.000Z,393.47,1797.18,,
450,2019-07-22T00:08:44.000Z,409.41,2103.64,,
451,2019-07-22T00:08:45.000Z,317.01,1660.12,,
452,2019-07-22T00:08:46.000Z,351.12,1743.28,,
453,2019-07-22T00:08:47.000Z,359.97,1620.08,,
454,2019-07-22T00:08:48.000Z,387.39,1880.34,,
455,2019-07-22T00:08:49.000Z,388,1818.74,,
456,2019-07-22T00:08:50.000Z,348.04,1766.38,,
457,2019-07-22T00:08:51.000Z,357.59,1928.08,,
458,2019-07-22T00:08:52.000Z,350.81,1763.3,,
459,2019-07-22T00:08:53.000Z,468.39,2581.04,,
460,2019-07-22T00:08:54.000Z,468.08,2431.66,,
461,2019-07-22T00:08:55.000Z,518.75,2331.56,,
462,2019-07-22T00:08:56.000Z,351.58,1797.18,,
463,2019-07-22T00:08:57.000Z,318.39,1620.08,,
464,2019-07-22T00:08:58.000Z,320.4,1789.48,,
