2019-07-22T00:16:03.310Z,1,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:03.310Z', 1,5);"
2019-07-22T00:16:03.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:03.000Z', 0,5);"
2019-07-22T00:16:04.841Z,2,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:04.841Z', 2,5);"
2019-07-22T00:16:04.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:04.000Z', 0,5);"
2019-07-22T00:16:05.859Z,3,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:05.859Z', 3,5);"
2019-07-22T00:16:56.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:56.000Z', 0,5);"
2019-07-22T00:16:57.264Z,4,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:57.264Z', 4,5);"
2019-07-22T00:16:57.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:57.000Z', 0,5);"
2019-07-22T00:16:58.366Z,5,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:58.366Z', 5,5);"
2019-07-22T00:16:58.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:58.000Z', 0,5);"
2019-07-22T00:16:59.377Z,1,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:59.377Z', 1,6);"
2019-07-22T00:16:59.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:59.000Z', 0,6);"
2019-07-22T00:17:00.976Z,2,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:00.976Z', 2,6);"
2019-07-22T00:17:00.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:00.000Z', 0,6);"
2019-07-22T00:17:01.995Z,3,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:01.995Z', 3,6);"
2019-07-22T00:17:52.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:52.000Z', 0,6);"
2019-07-22T00:17:53.616Z,4,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:53.616Z', 4,6);"
2019-07-22T00:17:53.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:53.000Z', 0,6);"
2019-07-22T00:17:54.717Z,5,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:54.717Z', 5,6);"
2019-07-22T00:17:54.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:54.000Z', 0,6);"
2019-07-22T00:17:55.726Z,1,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:55.726Z', 1,7);"
2019-07-22T00:17:55.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:55.000Z', 0,7);"
2019-07-22T00:17:56.997Z,2,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:56.997Z', 2,7);"
2019-07-22T00:17:57.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:57.000Z', 0,7);"
2019-07-22T00:17:58.014Z,3,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:17:58.014Z', 3,7);"
2019-07-22T00:18:48.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:48.000Z', 0,7);"
2019-07-22T00:18:49.821Z,4,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:49.821Z', 4,7);"
2019-07-22T00:18:49.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:49.000Z', 0,7);"
2019-07-22T00:18:50.913Z,5,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:50.913Z', 5,7);"
2019-07-22T00:18:50.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:50.000Z', 0,7);"
2019-07-22T00:18:51.922Z,1,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:51.922Z', 1,8);"
2019-07-22T00:18:52.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:52.000Z', 0,8);"
2019-07-22T00:18:53.556Z,2,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:53.556Z', 2,8);"
2019-07-22T00:18:53.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:53.000Z', 0,8);"
2019-07-22T00:18:54.573Z,3,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:18:54.573Z', 3,8);"
2019-07-22T00:19:44.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:44.000Z', 0,8);"
2019-07-22T00:19:45.679Z,4,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:45.679Z', 4,8);"
2019-07-22T00:19:45.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:45.000Z', 0,8);"
2019-07-22T00:19:46.772Z,5,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:46.772Z', 5,8);"
2019-07-22T00:19:46.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:46.000Z', 0,8);"
2019-07-22T00:19:47.782Z,1,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:47.782Z', 1,9);"
2019-07-22T00:19:48.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:48.000Z', 0,9);"
2019-07-22T00:19:49.336Z,2,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:49.336Z', 2,9);"
