timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time
2020-04-07 19:36:27.000589,21.0,5.109655857086182,3.4,1,2020-04-07 19:36:11.000751,15.0,1,8.809
2020-04-07 19:38:17.000996,110.0,5.763776063919067,2.9,1,2020-04-07 19:38:03.000008,14.0,1,9.655
2020-04-07 19:38:20.000972,2.0,5.3291730880737305,3.1,1,2020-04-07 19:38:03.000008,17.0,1,9.655
2020-04-07 19:39:45.000956,84.0,5.157480716705322,3.9,1,2020-04-07 19:38:03.000008,102.0,1,9.655
2020-04-07 19:41:37.000271,111.0,4.429828405380249,4.4,1,2020-04-07 19:40:46.000502,50.0,1,9.606
2020-04-07 19:41:49.000865,12.0,5.488435983657837,2.6,1,2020-04-07 19:40:46.000502,63.0,1,9.606
2020-04-07 19:45:21.000762,211.0,7.177906513214111,3.2,1,2020-04-07 19:45:21.000629,0.0,1,8.704
2020-04-07 19:45:27.000458,5.0,4.640844345092773,3.1,1,2020-04-07 19:45:21.000629,5.0,1,8.704
2020-04-07 19:47:17.000484,110.0,7.703805446624756,3.4,1,2020-04-07 19:46:36.000777,40.0,1,8.971
2020-04-07 19:47:42.000984,25.0,5.405299425125122,3.4,1,2020-04-07 19:46:36.000777,66.0,1,8.971
2020-04-07 19:48:01.000724,18.0,4.476625919342041,3.7,1,2020-04-07 19:46:36.000777,84.0,1,8.971
2020-04-07 19:48:30.000539,28.0,5.652729034423828,3.3,1,2020-04-07 19:48:24.000015,6.0,1,9.788
2020-04-07 19:49:48.000977,78.0,8.058567523956299,2.9,1,2020-04-07 19:48:24.000015,84.0,1,9.788
2020-04-07 19:51:06.000481,77.0,6.76639461517334,3.2,1,2020-04-07 19:50:43.000938,22.0,1,8.92
2020-04-07 19:51:12.000550,6.0,4.850045204162598,3.7,1,2020-04-07 19:50:43.000938,28.0,1,8.92
2020-04-07 19:52:34.000140,81.0,8.219973802566528,3.5,1,2020-04-07 19:52:17.000343,16.0,1,8.795
2020-04-07 19:53:20.000208,46.0,7.29044771194458,3.0,1,2020-04-07 19:53:06.000171,14.0,1,8.708
2020-04-07 19:53:33.000188,12.0,4.811479806900024,4.0,1,2020-04-07 19:53:06.000171,27.0,1,8.708
2020-04-07 19:54:30.000325,57.0,7.279279708862305,3.2,1,2020-04-07 19:53:06.000171,84.0,1,8.708
2020-04-07 19:56:54.000194,143.0,4.6803765296936035,4.6,1,2020-04-07 19:56:38.000424,15.0,1,9.452
2020-04-07 19:57:34.000758,40.0,6.250759840011597,4.0,1,2020-04-07 19:57:21.000449,13.0,1,8.775
2020-04-07 19:59:50.000609,135.0,8.490182638168335,3.3,1,2020-04-07 19:58:11.000182,99.0,1,9.418
2020-04-07 20:02:07.000777,137.0,4.36931848526001,4.3,1,2020-04-07 20:00:34.000856,92.0,1,8.777
2020-04-07 20:04:23.000157,135.0,8.573401927947998,3.1,1,2020-04-07 20:00:34.000856,228.0,1,8.777
2020-04-07 20:04:38.000583,15.0,11.412458658218384,2.8,1,2020-04-07 20:00:34.000856,243.0,1,8.777
2020-04-07 20:06:11.000874,93.0,6.788455247879028,4.8,1,2020-04-07 20:06:07.000200,4.0,1,8.768
2020-04-07 20:06:55.000582,43.0,25.29436683654785,2.2,1,2020-04-07 20:06:37.000083,18.0,1,8.886
2020-04-07 20:08:10.000634,75.0,8.034488201141357,3.6,1,2020-04-07 20:06:37.000083,93.0,1,8.886
2020-04-07 20:11:12.000503,181.0,5.130362033843994,4.2,1,2020-04-07 20:10:19.000756,52.0,1,8.839
2020-04-07 20:12:02.000673,50.0,7.918433904647827,3.4,1,2020-04-07 20:10:19.000756,102.0,1,8.839
2020-04-07 20:12:29.000816,27.0,16.45776891708374,2.3,1,2020-04-07 20:12:18.000342,11.0,1,8.955
2020-04-07 20:13:41.000807,71.0,11.097801446914673,3.5,1,2020-04-07 20:12:18.000342,83.0,1,8.955
2020-04-07 20:14:04.000290,22.0,13.376590251922607,2.7,1,2020-04-07 20:13:43.000491,20.0,1,10.931
