Date,Current(mA),Power(mW),Is_Active,Tactic
2019-6-3T0:0:5:365,295.83,1510.74,1,1
2019-6-3T0:0:5:470,341.03,2249.94,1,1
2019-6-3T0:0:5:576,295.83,1566.18,1,1
2019-6-3T0:0:5:681,305.84,1854.16,1,1
2019-6-3T0:0:5:787,316.93,1516.90,1,1
2019-6-3T0:0:5:893,405.79,1789.48,1,1
2019-6-3T0:0:5:999,309.69,1632.40,1,1
2019-6-3T0:0:6:104,341.19,1761.76,1,1
2019-6-3T0:0:6:210,316.55,1572.34,1,1
2019-6-3T0:0:6:316,347.89,1743.28,1,1
2019-6-3T0:0:6:421,315.08,1660.12,1,1
2019-6-3T0:0:6:527,367.91,1854.16,1,1
2019-6-3T0:0:6:632,307.92,1589.28,1,1
2019-6-3T0:0:6:738,310.70,1596.98,1,1
2019-6-3T0:0:6:844,309.23,1566.18,1,1
2019-6-3T0:0:6:949,309.31,1536.92,1,1
2019-6-3T0:0:7:55,303.23,1556.94,1,1
2019-6-3T0:0:7:160,304.38,1564.64,1,1
2019-6-3T0:0:7:266,302.99,1553.86,1,1
2019-6-3T0:0:7:371,302.23,1529.22,1,1
2019-6-3T0:0:7:477,296.45,1521.52,1,1
2019-6-3T0:0:7:583,302.99,1538.46,1,1
2019-6-3T0:0:7:688,299.14,1544.62,1,1
2019-6-3T0:0:7:793,297.14,1538.46,1,1
2019-6-3T0:0:7:899,303.23,1592.36,1,1
2019-6-3T0:0:8:4,307.00,1536.92,1,1
2019-6-3T0:0:8:110,309.62,1564.64,1,1
2019-6-3T0:0:8:215,301.61,1546.16,1,1
2019-6-3T0:0:8:321,332.18,1561.56,1,1
2019-6-3T0:0:8:426,304.38,1604.68,1,1
2019-6-3T0:0:8:532,334.10,1572.34,1,1
2019-6-3T0:0:8:638,305.61,1683.22,1,1
2019-6-3T0:0:8:743,335.64,1569.26,1,1
2019-6-3T0:0:8:849,296.14,1564.64,1,1
2019-6-3T0:0:8:955,334.72,1556.94,1,1
2019-6-3T0:0:9:61,318.01,1640.10,1,1
2019-6-3T0:0:9:166,304.30,1706.32,1,1
2019-6-3T0:0:9:272,304.00,1549.24,1,1
2019-6-3T0:0:9:378,300.15,1552.32,1,1
2019-6-3T0:0:9:483,304.30,1533.84,1,1
2019-6-3T0:0:9:589,298.45,1529.22,1,1
2019-6-3T0:0:9:695,297.91,1529.22,1,1
2019-6-3T0:0:9:800,315.39,1600.06,1,1
2019-6-3T0:0:9:906,299.22,1509.20,1,1
2019-6-3T0:0:10:13,308.62,1629.32,1,1
2019-6-3T0:0:10:119,299.99,1538.46,1,1
2019-6-3T0:0:10:226,307.00,1569.26,1,1
2019-6-3T0:0:10:331,312.54,1596.98,1,1
2019-6-3T0:0:10:437,299.30,1513.82,1,1
2019-6-3T0:0:10:542,297.53,1532.30,1,1
2019-6-3T0:0:10:648,310.70,1589.28,1,1
2019-6-3T0:0:10:754,329.41,1564.64,1,1
2019-6-3T0:0:10:859,301.92,1533.84,1,1
2019-6-3T0:0:10:964,296.22,1529.22,1,1
2019-6-3T0:0:11:70,324.25,1518.44,1,1
2019-6-3T0:0:11:175,345.04,1576.96,1,1
2019-6-3T0:0:11:281,318.24,1572.34,1,1
2019-6-3T0:0:11:386,304.92,1612.38,1,1
2019-6-3T0:0:11:492,351.97,1978.90,1,1
2019-6-3T0:0:11:597,323.78,1672.44,1,1
2019-6-3T0:0:11:703,326.94,1660.12,1,1
2019-6-3T0:0:11:811,427.27,1811.04,1,1
2019-6-3T0:0:11:917,338.34,1727.88,1,1
2019-6-3T0:0:12:22,324.25,1652.42,1,1
2019-6-3T0:0:12:128,322.32,1620.08,1,1
2019-6-3T0:0:12:233,326.79,1667.82,1,1
2019-6-3T0:0:12:339,316.24,1546.16,1,1
2019-6-3T0:0:12:444,299.68,1581.58,1,1
2019-6-3T0:0:12:550,292.83,1486.10,1,1
2019-6-3T0:0:12:655,296.91,1521.52,1,1
2019-6-3T0:0:12:761,294.91,1513.82,1,1
2019-6-3T0:0:12:867,294.45,1509.20,1,1
2019-6-3T0:0:12:972,297.84,1806.42,1,1
2019-6-3T0:0:13:78,311.00,1596.98,1,1
2019-6-3T0:0:13:183,304.54,1584.66,1,1
2019-6-3T0:0:13:289,307.38,1576.96,1,1
2019-6-3T0:0:13:395,304.15,1526.14,1,1
2019-6-3T0:0:13:500,301.61,1692.46,1,1
2019-6-3T0:0:13:606,306.69,1741.74,1,1
2019-6-3T0:0:13:711,305.92,1553.86,1,1
2019-6-3T0:0:13:817,304.30,1609.30,1,1
2019-6-3T0:0:13:922,304.23,1536.92,1,1
2019-6-3T0:0:14:28,320.94,1637.02,1,1
2019-6-3T0:0:14:134,301.30,1510.74,1,1
2019-6-3T0:0:14:239,306.84,1617.00,1,1
2019-6-3T0:0:14:345,303.38,1541.54,1,1
2019-6-3T0:0:14:451,299.91,1544.62,1,1
2019-6-3T0:0:14:556,292.52,1466.08,1,1
2019-6-3T0:0:14:662,297.68,1518.44,1,1
2019-6-3T0:0:14:767,294.29,1506.12,1,1
2019-6-3T0:0:14:873,314.39,1652.42,1,1
2019-6-3T0:0:14:978,310.70,1617.00,1,1
2019-6-3T0:0:15:84,327.63,1561.56,1,1
2019-6-3T0:0:15:190,320.70,1707.86,1,1
2019-6-3T0:0:15:296,296.14,1526.14,1,1
2019-6-3T0:0:15:401,311.31,1589.28,1,1
2019-6-3T0:0:15:507,300.15,1526.14,1,1
2019-6-3T0:0:15:612,306.15,1632.40,1,1
2019-6-3T0:0:15:718,306.84,1612.38,1,1
2019-6-3T0:0:15:824,306.92,1549.24,1,1
2019-6-3T0:0:15:929,303.15,1536.92,1,1
2019-6-3T0:0:16:35,301.92,1549.24,1,1
2019-6-3T0:0:16:140,295.83,1510.74,1,1
2019-6-3T0:0:16:246,309.31,1581.58,1,1
2019-6-3T0:0:16:352,304.00,1533.84,1,1
2019-6-3T0:0:16:457,298.30,1541.54,1,1
2019-6-3T0:0:16:563,301.53,1536.92,1,1
2019-6-3T0:0:16:668,298.61,1524.60,1,1
2019-6-3T0:0:16:774,303.38,1526.14,1,1
2019-6-3T0:0:16:879,301.92,1544.62,1,1
2019-6-3T0:0:16:985,337.18,1580.04,1,1
2019-6-3T0:0:17:91,294.99,1521.52,1,1
2019-6-3T0:0:17:196,294.99,1496.88,1,1
2019-6-3T0:0:17:302,300.61,1536.92,1,1
2019-6-3T0:0:17:407,311.00,1587.74,1,1
2019-6-3T0:0:17:513,313.08,1549.24,1,1
2019-6-3T0:0:17:619,306.54,1510.74,1,1
2019-6-3T0:0:17:724,310.31,1560.02,1,1
