,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
2995,2020-04-10 03:59:14.000893,0.0015387703218037064,0.12523138548895998,0.04492187499999999,1,2020-04-10 03:59:12.000975,6.796248470844094e-05,1,0.04114293745114057,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3000,2020-04-10 04:10:49.000976,0.0021408978390312443,0.17432971715942813,0.03515625,1,2020-04-10 04:10:30.000754,0.0012912872094603778,1,0.03808620341335301,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3005,2020-04-10 04:17:22.000474,0.002007091724091791,0.0664768476633833,0.04492187499999999,1,2020-04-10 04:16:43.000042,0.002650536903629197,1,0.03858248350856852,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3010,2020-04-10 04:20:05.000980,0.0028099284137285073,0.1983345672122127,0.03125,1,2020-04-10 04:18:47.000408,0.005301073807258394,1,0.03823991848709233,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3015,2020-04-10 04:27:43.000433,0.0062219843446845524,0.04465895434577042,0.060546875,1,2020-04-10 04:25:41.000255,0.008291423134429795,1,0.03899531827803983,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3020,2020-04-10 04:31:40.000943,0.0039472803907138546,0.0573727130148418,0.072265625,1,2020-04-10 04:29:56.000316,0.007068098409677858,1,0.03809059527260271,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3025,2020-04-10 04:40:24.000207,0.004081086505653309,0.07194319917610947,0.056640624999999986,1,2020-04-10 04:39:34.000518,0.0033301617507136053,1,0.03858248350856852,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3030,2020-04-10 04:47:03.000853,0.008429785241185522,0.051485576726678486,0.0625,1,2020-04-10 04:46:32.000660,0.0021068370259616693,1,0.04261860215903801,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3035,2020-04-10 04:49:27.000226,0.001271158091924801,0.04654580612861057,0.05468749999999999,1,2020-04-10 04:47:44.000229,0.006932173440260976,1,0.03959261113599832,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3040,2020-04-10 04:54:02.000727,0.004348698735532214,0.0386263425924257,0.09375,1,2020-04-10 04:53:14.000917,0.0031942367812967244,1,0.039667272743243116,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3045,2020-04-10 04:58:45.000876,0.011105907539974577,0.08109521607809564,0.06640625,1,2020-04-10 04:58:10.000467,0.002378686964795433,1,0.041533812924363415,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3050,2020-04-10 05:08:49.000046,0.01103900448250485,0.12084156585567275,0.04492187499999999,1,2020-04-10 05:08:45.000926,0.00020388745412532288,1,0.03808181155410331,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3055,2020-04-10 05:12:43.000785,0.005352244597578109,0.059468146326696836,0.05078125,1,2020-04-10 05:12:00.000666,0.0029223868424629604,1,0.038441944012578284,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3060,2020-04-10 05:16:23.000716,0.004950826252759751,0.08464081863259516,0.029296875,1,2020-04-10 05:14:04.000922,0.00937882288976485,1,0.038160865020597824,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3065,2020-04-10 05:21:08.000006,0.0034789589884257712,0.10844651621890193,0.041015625,1,2020-04-10 05:20:58.000940,0.0006116623623759682,1,0.04348819029047757,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3070,2020-04-10 05:29:52.000099,0.00588746905733592,0.1263637904951493,0.04492187499999999,1,2020-04-10 05:26:35.000806,0.013320647002854423,1,0.04325542175024375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
